,destinations,origins,rows
0,"Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '1 m', 'value': 0}, 'duration': {'text': '1 min', 'value': 0}, 'status': 'OK'}"
1,"Cerro de Mercado 3707, Fierro, 64590 Monterrey, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '18.9 km', 'value': 18859}, 'duration': {'text': '26 mins', 'value': 1567}, 'status': 'OK'}"
2,"Calle Cañon Huasteco 1321, La Conquista, Santa Catarina, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '40.4 km', 'value': 40396}, 'duration': {'text': '49 mins', 'value': 2955}, 'status': 'OK'}"
3,"Av. Parque Industrial Monterrey 502, Monterrey, 66603 Cd Apodaca, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '6.1 km', 'value': 6058}, 'duration': {'text': '14 mins', 'value': 845}, 'status': 'OK'}"
4,"S. Bernardo 1305, Residencial San Cristobal 1er Sector, 66478 San Nicolás de los Garza, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '9.9 km', 'value': 9867}, 'duration': {'text': '16 mins', 'value': 960}, 'status': 'OK'}"
5,"C. Angel Martínez Villarreal 7802, Valle de Santa Lucía, 64140 Monterrey, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '27.5 km', 'value': 27525}, 'duration': {'text': '46 mins', 'value': 2740}, 'status': 'OK'}"
6,"C. de la Huerta 33, San Bernabé IV Sector, 64104 Monterrey, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '29.5 km', 'value': 29475}, 'duration': {'text': '50 mins', 'value': 3027}, 'status': 'OK'}"
7,"Autopista Monterrey-Cadereyta. 1341, 67115 Guadalupe, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '6.6 km', 'value': 6611}, 'duration': {'text': '15 mins', 'value': 899}, 'status': 'OK'}"
8,"Liverpool 5275, Misión Cumbres, 64348 Monterrey, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '36.8 km', 'value': 36789}, 'duration': {'text': '44 mins', 'value': 2669}, 'status': 'OK'}"
9,"Sin referencia No. 385 SN-I HYLSA, Sin Nombre de Col 7, San Nicolás de los Garza, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '11.9 km', 'value': 11877}, 'duration': {'text': '21 mins', 'value': 1278}, 'status': 'OK'}"
10,"Jdn. del Atardecer 259, Jardines de Monterrey ÌII, 66613 Cd Apodaca, N.L., Mexico","Piedad 110, Balcones de Huinala, 66640 Cd Apodaca, N.L., Mexico","{'distance': {'text': '15.9 km', 'value': 15872}, 'duration': {'text': '32 mins', 'value': 1931}, 'status': 'OK'}"
